all_sz_list,所属行业,自选
000798,A 农林牧渔,
000799,C 制造业,
000800,C 制造业,
000801,C 制造业,
000802,R 文化传播,
000803,N 公共环保,
000806,C 制造业,
000807,C 制造业,
000809,N 公共环保,
000810,C 制造业,
000811,C 制造业,
000812,C 制造业,
000813,C 制造业,
000815,C 制造业,
000816,C 制造业,
000818,C 制造业,
000819,C 制造业,
000820,C 制造业,
000821,C 制造业,
000822,C 制造业,
000823,C 制造业,
000825,C 制造业,
000826,N 公共环保,
000828,G 运输仓储,
000829,F 批发零售,
000830,C 制造业,
000831,C 制造业,
000833,S 综合,
000836,C 制造业,
000837,C 制造业,
000838,K 房地产,
000839,I 信息技术,
000848,C 制造业,
000850,C 制造业,
000851,F 批发零售,
000852,C 制造业,
000856,C 制造业,
000858,C 制造业,
000859,C 制造业,
000860,C 制造业,
000861,L 商务服务,
000862,D 水电煤气,
000863,K 房地产,
000868,C 制造业,
000869,C 制造业,
000875,D 水电煤气,
000876,C 制造业,
000877,C 制造业,
000878,C 制造业,
000880,C 制造业,
000881,C 制造业,
000882,L 商务服务,
000883,D 水电煤气,
000885,G 运输仓储,
000886,K 房地产,
000887,C 制造业,
000888,N 公共环保,
000889,I 信息技术,
000890,C 制造业,
000892,R 文化传播,
000893,C 制造业,
000895,C 制造业,
000897,K 房地产,
000898,C 制造业,
000899,D 水电煤气,
000900,G 运输仓储,
000901,C 制造业,
000902,C 制造业,
000903,C 制造业,
000905,G 运输仓储,
000906,F 批发零售,
000908,C 制造业,
000909,K 房地产,
000910,C 制造业,*
000911,C 制造业,
000912,C 制造业,
000913,C 制造业,
000915,C 制造业,
000917,I 信息技术,
000918,K 房地产,
000919,C 制造业,
000920,C 制造业,
000921,C 制造业,
000922,C 制造业,
000923,B 采矿业,
000925,C 制造业,
000926,K 房地产,
000927,F 批发零售,
000928,E 建筑业,
000929,C 制造业,
000930,C 制造业,
000931,C 制造业,
000932,C 制造业,
000933,C 制造业,
000935,C 制造业,
000936,C 制造业,
000937,B 采矿业,
000938,C 制造业,
000948,I 信息技术,
000949,C 制造业,
000950,F 批发零售,
000951,C 制造业,
000952,C 制造业,
000953,C 制造业,
000955,C 制造业,
000957,C 制造业,
000958,J 金融业,
