all_sz_list,所属行业,自选
002871,C 制造业,
002872,F 批发零售,
002873,C 制造业,
002875,C 制造业,
002876,C 制造业,
002877,C 制造业,
002878,L 商务服务,
002879,C 制造业,
002880,C 制造业,
002881,C 制造业,
002882,C 制造业,
002883,M 科研服务,
002884,C 制造业,
002885,C 制造业,
002886,C 制造业,
002887,N 公共环保,
002888,C 制造业,
002889,L 商务服务,
002890,C 制造业,
002891,C 制造业,
002892,C 制造业,
002893,D 水电煤气,
002895,C 制造业,
002896,C 制造业,
002897,C 制造业,
002898,C 制造业,
002899,C 制造业,
002900,C 制造业,
002901,C 制造业,
002902,C 制造业,
002903,C 制造业,
002905,R 文化传播,
002906,C 制造业,
002907,C 制造业,
002908,I 信息技术,
002909,C 制造业,
002910,C 制造业,
002911,D 水电煤气,
002912,I 信息技术,
002913,C 制造业,
002915,C 制造业,
002916,C 制造业,
002917,C 制造业,
002918,C 制造业,
002919,C 制造业,
002920,C 制造业,
002921,C 制造业,
002922,C 制造业,
002923,C 制造业,
002925,C 制造业,
002926,J 金融业,
002927,C 制造业,
002928,G 运输仓储,
002929,I 信息技术,
002930,G 运输仓储,
002931,C 制造业,
002932,C 制造业,
002933,C 制造业,
002935,C 制造业,
002936,J 金融业,
002937,C 制造业,
002938,C 制造业,
002939,J 金融业,
002940,C 制造业,
002941,E 建筑业,
002942,C 制造业,
002943,C 制造业,
002945,J 金融业,
002946,C 制造业,
002947,C 制造业,
002948,J 金融业,
002949,M 科研服务,
002950,C 制造业,
002951,C 制造业,
002952,C 制造业,
002953,C 制造业,
002955,C 制造业,
002956,C 制造业,
002957,C 制造业,
002958,J 金融业,
002959,C 制造业,
002960,C 制造业,
002961,J 金融业,
002962,C 制造业,
002963,E 建筑业,
002965,C 制造业,
002966,J 金融业,
002967,M 科研服务,
002968,K 房地产,
002969,C 制造业,
002970,I 信息技术,
002971,C 制造业,
002972,C 制造业,
002973,N 公共环保,
002975,C 制造业,
002976,C 制造业,
002977,C 制造业,
002978,B 采矿业,
002979,C 制造业,
002980,C 制造业,
002981,C 制造业,
002982,A 农林牧渔,
002983,C 制造业,
002984,C 制造业,
002985,C 制造业,
002986,C 制造业,
002987,I 信息技术,
002988,C 制造业,
002989,E 建筑业,
002990,I 信息技术,
002991,C 制造业,
002992,C 制造业,
002993,C 制造业,
002995,I 信息技术,
002996,C 制造业,
002997,C 制造业,
002998,C 制造业,
002999,F 批发零售,
003000,C 制造业,
003001,E 建筑业,
003002,C 制造业,
003003,C 制造业,
003004,I 信息技术,
003005,I 信息技术,
003006,C 制造业,
003007,I 信息技术,
003008,M 科研服务,
003009,C 制造业,
003010,I 信息技术,
003011,C 制造业,
003012,C 制造业,
003013,M 科研服务,
003015,C 制造业,
003016,C 制造业,
003017,C 制造业,
003018,C 制造业,
003019,C 制造业,
003020,F 批发零售,
003021,C 制造业,
003022,C 制造业,
003023,C 制造业,
003025,C 制造业,
003026,C 制造业,
003027,N 公共环保,
003028,C 制造业,
003029,I 信息技术,
003030,C 制造业,
003031,C 制造业,
003032,P 教育,
003033,C 制造业,
003035,M 科研服务,
003036,C 制造业,
003037,C 制造业,
003038,C 制造业,
003039,D 水电煤气,
003040,C 制造业,
003041,C 制造业,
003042,C 制造业,
003043,C 制造业,
003816,D 水电煤气,
